depth	yearBP	SST	Notes
692.5	2885	10.19	MD99-2275
693.5	2890	7.23	MD99-2275
694.5	2896	8.39	MD99-2275
695.5	2901	8.30	MD99-2275
696.5	2906	8.22	MD99-2275
697.5	2911	8.11	MD99-2275
698.5	2916	9.39	MD99-2275
699.5	2921	7.73	MD99-2275
700.5	2926	9.67	MD99-2275
701.5	2931	8.55	MD99-2275
702.5	2936	9.08	MD99-2275
703.5	2942	8.17	MD99-2275
704.5	2947	9.60	MD99-2275
705.5	2952	8.77	MD99-2275
706.5	2957	8.95	MD99-2275
707.5	2962	8.76	MD99-2275
708.5	2967	9.04	MD99-2275
709.5	2972	7.91	MD99-2275
710.5	2977	9.36	MD99-2275
711.5	2982	7.88	MD99-2275
712.5	2987	8.84	MD99-2275
713.5	2992	8.03	MD99-2275
714.5	2997	6.95	MD99-2275
715.5	3002	9.15	MD99-2275
716.5	3006	8.66	MD99-2275
717.5	3011	8.90	MD99-2275
718.5	3016	9.88	MD99-2275
719.5	3021	8.23	MD99-2275
720.5	3026	9.53	MD99-2275
721.5	3030	8.91	MD99-2275
722.5	3035	9.96	MD99-2275
723.5	3040	8.50	MD99-2275
724.5	3045	9.50	MD99-2275
725.5	3050	8.79	MD99-2275
726.5	3054	10.21	MD99-2275
727.5	3059	9.65	MD99-2275
728.5	3064	8.90	MD99-2275
729.5	3069	9.22	MD99-2275
730.5	3074	9.55	MD99-2275
731.5	3078	8.76	MD99-2275
732.5	3083	10.51	MD99-2275
733.5	3088	9.59	MD99-2275
734.5	3093	9.36	MD99-2275
735.5	3098	9.72	MD99-2275
736.5	3102	9.56	MD99-2275
737.5	3107	9.27	MD99-2275
738.5	3112	9.08	MD99-2275
739.5	3117	8.49	MD99-2275
740.5	3122	8.66	MD99-2275
741.5	3126	9.08	MD99-2275
742.5	3131	8.85	MD99-2275
743.5	3136	8.21	MD99-2275
744.5	3141	8.62	MD99-2275
745.5	3146	7.75	MD99-2275
746.5	3151	8.29	MD99-2275
747.5	3155	8.68	MD99-2275
748.5	3160	7.80	MD99-2275
749.5	3165	8.26	MD99-2275
750.5	3170	10.76	MD99-2275
751.5	3175	8.58	MD99-2275
752.5	3179	9.13	MD99-2275
753.5	3184	8.22	MD99-2275
754.5	3189	9.09	MD99-2275
755.5	3194	9.96	MD99-2275
756.5	3199	9.11	MD99-2275
757.5	3203	9.14	MD99-2275
758.5	3208	8.52	MD99-2275
759.5	3213	8.93	MD99-2275
760.5	3218	9.43	MD99-2275
761.5	3223	8.65	MD99-2275
762.5	3227	10.25	MD99-2275
763.5	3232	8.90	MD99-2275
764.5	3237	8.78	MD99-2275
765.5	3242	8.96	MD99-2275
766.5	3247	9.23	MD99-2275
767.5	3251	7.87	MD99-2275
768.5	3256	9.49	MD99-2275
769.5	3261	8.81	MD99-2275
770.5	3266	9.23	MD99-2275
771.5	3271	8.13	MD99-2275
772.5	3275	7.29	MD99-2275
773.5	3280	8.68	MD99-2275
774.5	3285	8.50	MD99-2275
775.5	3285	8.06	MD99-2275
776.5	3290	7.52	MD99-2275
777.5	3295	8.60	MD99-2275
778.5	3299	7.67	MD99-2275
779.5	3304	8.16	MD99-2275
780.5	3309	8.47	MD99-2275
781.5	3314	NA	MD99-2275
782.5	3319	7.90	MD99-2275
783.5	3323	8.78	MD99-2275
784.5	3328	8.37	MD99-2275
785.5	3333	8.18	MD99-2275
786.5	3338	8.81	MD99-2275
787.5	3343	9.15	MD99-2275
788.5	3347	8.63	MD99-2275
789.5	3352	7.94	MD99-2275
